x,y,z,intensity,gps_time,label,global_id
746058.26740723,2574344.66191040,451.36364746,6682,4489.98388672,30,708010003
746058.31123047,2574344.62568604,451.20495605,20560,4489.98388672,30,708010003
746058.35529785,2574344.65141235,451.05163574,6682,4489.98388672,30,708010003
746058.44709473,2574344.85328613,452.12725830,4626,4491.27734375,30,708010003
746058.27412109,2574344.83399902,450.95065308,5397,4491.37548828,30,708010003
746058.26081543,2574344.58760010,451.11724854,16191,4491.37548828,30,708010003
746058.25910645,2574344.56169067,451.26574707,16191,4491.37548828,30,708010003
746058.26112061,2574344.59928833,451.41174316,16191,4491.37548828,30,708010003
746058.26319580,2574344.63288818,451.57376099,16191,4491.37548828,30,708010003
746058.26588135,2574344.67561279,451.72784424,5397,4491.37548828,30,708010003
746058.28089600,2574344.94740234,451.87615967,5397,4491.37548828,30,708010003
746058.28651123,2574345.04289185,452.02255249,5397,4491.37597656,30,708010003
746058.23438721,2574344.79020630,451.77716064,3341,4492.28076172,30,708010003
746058.33009033,2574344.64530884,451.67663574,10280,4492.28076172,30,708010003
746058.43037109,2574344.58790527,451.57354736,13621,4492.28125000,30,708010003
746058.53187256,2574344.55390869,451.46975708,13621,4492.28125000,30,708010003
746058.63477783,2574344.54319702,451.36514282,3341,4492.28125000,30,708010003
746058.73579102,2574344.87959229,452.05413818,4626,4492.58544922,30,708010003
746058.50489502,2574344.50910889,451.49255371,5654,4493.66845703,30,708010003
746058.43720703,2574344.54399048,451.61755371,22873,4493.66894531,30,708010003
746058.37092285,2574344.60249268,451.74194336,17219,4493.66894531,30,708010003
746058.74781494,2574344.94081055,452.10336304,16191,4493.87890625,30,708010003
746058.11652832,2574345.32798706,451.16284180,5140,4494.89111328,30,708010003
746058.15699463,2574344.79811035,451.07305908,4883,4494.89111328,30,708010003
746058.23237305,2574344.83808838,450.95834351,4883,4494.89111328,30,708010003
746058.32532959,2574345.08241211,450.82714844,5140,4494.89160156,30,708010003
746058.25812988,2574347.15989624,450.86785889,5397,4494.99365234,30,708010003
746058.31519775,2574347.26179443,450.72714233,5397,4494.99365234,30,708010003
746058.15852051,2574347.75511108,450.63534546,4112,4495.09082031,30,708010003
746058.39490967,2574345.16160522,452.15893555,3084,4495.28173828,30,708010003
746058.33790283,2574344.97468506,452.03546143,3084,4495.28173828,30,708010003
746058.28992920,2574344.91300903,451.91006470,3084,4495.28173828,30,708010003
746058.24201660,2574344.85288940,451.78494263,3084,4495.28173828,30,708010003
746058.20161133,2574344.90190063,451.65695190,3084,4495.28173828,30,708010003
746058.16853027,2574345.07020508,451.52435303,3084,4495.28173828,30,708010003
746058.13111572,2574345.17430054,451.39303589,3084,4495.28173828,30,708010003
746058.13129883,2574345.85829102,451.24383545,3084,4495.28222656,30,708010003
746058.11921387,2574346.36241089,451.09823608,3084,4495.28222656,30,708010003
746058.47620850,2574345.39369141,450.84075928,2827,4496.16650391,30,708010003
746058.41822510,2574345.49589478,450.94973755,2827,4496.16650391,30,708010003
746058.28840332,2574344.57328735,451.10653687,11308,4496.16650391,30,708010003
746058.22468262,2574344.57670532,451.21774292,11308,4496.16650391,30,708010003
746058.16218262,2574344.59959351,451.32815552,11308,4496.16650391,30,708010003
746058.10462646,2574344.69789062,451.43576050,8481,4496.16650391,30,708010003
746058.05689697,2574344.96128784,451.53823853,2827,4496.16650391,30,708010003
746058.79237061,2574344.84660278,452.11584473,3341,4496.26464844,30,708010003
746058.20112305,2574347.09309326,450.94415283,3598,4496.36621094,30,708010003
746058.10950928,2574346.27598511,451.51684570,3598,4496.36669922,30,708010003
746058.25318604,2574344.86918579,450.94284058,2827,4496.56689453,30,708010003
746058.27601318,2574344.64338623,451.07714844,8481,4496.56689453,30,708010003
746058.30811768,2574344.57850586,451.19696045,11308,4496.56689453,30,708010003
746058.34229736,2574344.56880127,451.30813599,11308,4496.56689453,30,708010003
746058.37867432,2574344.58659302,451.41824341,11308,4496.56689453,30,708010003
746058.41822510,2574344.59220825,451.54055786,11308,4496.56689453,30,708010003
746058.45570068,2574344.59519897,451.65695190,11308,4496.56689453,30,708010003
746058.62812500,2574344.89250122,452.11123657,2827,4496.56738281,30,708010003
746058.80842285,2574345.12950073,452.20495605,4369,4497.38134766,30,708010003
746058.85126953,2574344.91331421,452.11264038,4369,4497.38134766,30,708010003
746058.13099365,2574344.88130127,450.93554688,2570,4497.38134766,30,708010003
746058.19691162,2574344.91139160,450.83355713,2570,4497.38134766,30,708010003
746058.26368408,2574344.95298706,450.73043823,2570,4497.38134766,30,708010003
746058.14790039,2574345.27250610,451.57595825,5397,4497.48388672,30,708010003
746058.16657715,2574344.93058716,451.47406006,5140,4497.48388672,30,708010003
746058.19093018,2574344.68009888,451.37054443,5140,4497.48388672,30,708010003
746058.22700195,2574344.62699829,451.26565552,15677,4497.48437500,30,708010003
746058.26850586,2574344.61891113,451.15325928,15677,4497.48437500,30,708010003
746058.31458740,2574344.67021118,451.03784180,10537,4497.48437500,30,708010003
746059.01502686,2574344.85960327,452.19323730,8224,4497.58007812,30,708010003
746059.02802734,2574344.84199463,452.07144165,2570,4497.58007812,30,708010003
746058.49281006,2574344.91609131,452.13754272,3084,4497.68212891,30,708010003
746058.42762451,2574344.60450684,451.65695190,13107,4497.68212891,30,708010003
746058.41621094,2574344.57951294,451.54376221,13107,4497.68212891,30,708010003
746058.40711670,2574344.58601318,451.42333984,13107,4497.68212891,30,708010003
746058.39722900,2574344.58390747,451.30325317,13107,4497.68261719,30,708010003
746058.38612061,2574344.56550537,451.18395996,13107,4497.68261719,30,708010003
746058.37958984,2574344.59880005,451.06814575,13107,4497.68261719,30,708010003
746058.41328125,2574345.14100586,450.91903687,3341,4497.68261719,30,708010003
746058.39417725,2574345.02369629,450.80343628,3084,4497.68261719,30,708010003
746058.37128906,2574345.89469849,452.17193604,2827,4497.78515625,30,708010003
746058.32270508,2574345.71189819,452.05773926,2827,4497.78564453,30,708010003
746058.27521973,2574345.56050049,451.93835449,2827,4497.78564453,30,708010003
746058.24378662,2574345.59599243,451.82046509,2827,4497.78564453,30,708010003
746058.19929199,2574345.47560059,451.70144653,2827,4497.78564453,30,708010003
746058.16328125,2574345.40278564,451.59893799,2827,4497.78564453,30,708010003
746058.14320068,2574345.59269653,451.47555542,2827,4497.78564453,30,708010003
746058.38660889,2574345.20548950,450.84893799,1542,4498.57763672,30,708010003
746058.29060059,2574345.02949463,450.93344116,1542,4498.57763672,30,708010003
746058.18269043,2574344.69749390,451.02505493,6168,4498.57812500,30,708010003
746058.10920410,2574344.78330933,451.09454346,4626,4498.57812500,30,708010003
746058.06892090,2574345.47389160,451.14764404,1542,4498.57812500,30,708010003
746058.74708252,2574344.77189575,452.09643555,2570,4498.57812500,30,708010003
746058.03876953,2574346.23921143,451.19265747,4883,4498.57812500,30,708010003
746058.67200928,2574344.88099609,452.17245483,2570,4498.57812500,30,708010003
746058.03132324,2574347.38130127,451.22525024,5140,4498.57812500,30,708010003
746058.53461914,2574344.55570923,451.02484131,3084,4498.67871094,30,708010003
746058.47169189,2574344.50208984,451.12115479,12336,4498.67871094,30,708010003
746058.41590576,2574344.55808960,451.21685791,12336,4498.67871094,30,708010003
746058.35529785,2574344.55989014,451.31515503,12336,4498.67919922,30,708010003
746058.29432373,2574344.55738770,451.41363525,12336,4498.67919922,30,708010003
746058.23572998,2574344.58430420,451.51095581,12336,4498.67919922,30,708010003
746058.18360596,2574344.69041382,451.60556030,3084,4498.67919922,30,708010003
